[887, 2015, 512, 1302, 304, 1281, 1193, 204, 1795, 1926]
[1967, 1545, 1920, 418, 174, 1861, 2006, 553, 1131, 1959]
[938, 876, 1750, 702, 476, 1142, 1546, 72, 1190, 1616]
[1974, 1197, 1915, 438, 118, 1986, 591, 121, 456, 185]
[904, 675, 1524, 1953, 964, 646, 1620, 6, 544, 1309]
[1838, 369, 509, 256, 409, 661, 361, 1980, 1024, 1396]
[336, 287, 1418, 478, 307, 210, 1231, 1741, 624, 927]
[1856, 1542, 1990, 1501, 570, 912, 392, 1999, 2002, 344]
[1606, 656, 705, 1697, 1703, 83, 1890, 688, 1320, 383]
[628, 1805, 1069, 1855, 1420, 1883, 375, 1082, 222, 1746]
[367, 563, 419, 85, 439, 273, 81, 1048, 581, 455]
[629, 1063, 1113, 55, 1666, 901, 852, 1417, 338, 1673]
[854, 220, 1962, 1041, 1772, 975, 1544, 888, 1643, 1215]
[885, 679, 178, 450, 720, 1981, 1659, 699, 1675, 1133]
[771, 350, 1346, 824, 280, 858, 1928, 1892, 1248, 1205]
[963, 1945, 51, 1471, 1497, 1229, 1289, 1462, 1272, 1018]
[1033, 1146, 791, 1768, 1220, 105, 1821, 1250, 1566, 1662]
[1241, 2003, 599, 1373, 749, 1416, 1884, 225, 1322, 790]
[979, 1779, 1393, 993, 1783, 1534, 1498, 398, 1274, 1503]
[472, 556, 687, 779, 1808, 970, 1244, 241, 387, 1110]
[568, 985, 423, 245, 1184, 323, 403, 391, 577, 406]
[1590, 1693, 841, 23, 1455, 1792, 665, 984, 236, 833]
[1570, 1323, 694, 1572, 1076, 1237, 651, 1454, 1504, 517]
[1010, 731, 596, 1042, 459, 150, 191, 1791, 863, 266]
[529, 950, 1388, 910, 775, 1168, 1005, 1199, 165, 1903]
[862, 41, 394, 1019, 611, 1587, 379, 537, 1635, 1519]
[846, 368, 1329, 557, 1124, 1466, 1735, 1057, 1086, 1624]
[257, 564, 974, 461, 1119, 989, 63, 528, 1583, 322]
[1644, 1338, 388, 1446, 275, 650, 674, 1419, 1358, 1152]
[1071, 969, 1151, 453, 378, 1634, 1255, 1687, 1748, 1661]
[615, 855, 262, 249, 1092, 492, 1412, 2032, 501, 1037]
[1483, 1463, 82, 1537, 1020, 2018, 1430, 120, 554, 1921]
